date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
06/05/2011;28;16;20;22;11;4;9;-11-16-20-22-28-;-4-9-
29/04/2011;38;40;25;15;41;1;2;-15-25-38-40-41-;-1-2-
22/04/2011;22;45;48;11;36;1;4;-11-22-36-45-48-;-1-4-
15/04/2011;4;41;6;21;39;2;6;-4-6-21-39-41-;-2-6-
08/04/2011;21;47;23;38;50;6;2;-21-23-38-47-50-;-2-6-
01/04/2011;17;33;22;21;4;4;8;-4-17-21-22-33-;-4-8-
25/03/2011;12;21;6;33;27;7;3;-6-12-21-27-33-;-3-7-
18/03/2011;50;13;26;1;20;7;6;-1-13-20-26-50-;-6-7-
11/03/2011;17;24;37;19;46;2;7;-17-19-24-37-46-;-2-7-
04/03/2011;28;41;25;11;27;8;5;-11-25-27-28-41-;-5-8-
25/02/2011;42;45;13;48;12;3;9;-12-13-42-45-48-;-3-9-
18/02/2011;45;3;49;15;2;9;5;-2-3-15-45-49-;-5-9-
11/02/2011;15;14;12;19;23;7;8;-12-14-15-19-23-;-7-8-
04/02/2011;47;35;11;2;24;5;9;-2-11-24-35-47-;-5-9-
28/01/2011;41;24;23;42;13;5;1;-13-23-24-41-42-;-1-5-
21/01/2011;21;11;13;3;18;5;4;-3-11-13-18-21-;-4-5-
14/01/2011;44;2;24;14;39;7;6;-2-14-24-39-44-;-6-7-
07/01/2011;32;22;1;48;50;7;6;-1-22-32-48-50-;-6-7-
31/12/2010;2;24;43;38;34;1;7;-2-24-34-38-43-;-1-7-
24/12/2010;46;19;42;36;38;8;2;-19-36-38-42-46-;-2-8-
17/12/2010;3;35;29;42;20;3;8;-3-20-29-35-42-;-3-8-
10/12/2010;46;2;10;3;33;8;7;-2-3-10-33-46-;-7-8-
03/12/2010;28;32;46;8;19;4;7;-8-19-28-32-46-;-4-7-
26/11/2010;9;41;36;49;28;7;5;-9-28-36-41-49-;-5-7-
19/11/2010;36;12;15;45;32;9;7;-12-15-32-36-45-;-7-9-
12/11/2010;23;47;7;19;29;6;1;-7-19-23-29-47-;-1-6-
05/11/2010;21;23;33;50;40;5;4;-21-23-33-40-50-;-4-5-
29/10/2010;32;22;16;42;20;8;9;-16-20-22-32-42-;-8-9-
22/10/2010;39;5;11;9;4;3;5;-4-5-9-11-39-;-3-5-
15/10/2010;38;31;2;36;43;7;3;-2-31-36-38-43-;-3-7-
08/10/2010;46;35;39;30;9;6;8;-9-30-35-39-46-;-6-8-
01/10/2010;4;27;6;48;1;1;6;-1-4-6-27-48-;-1-6-
24/09/2010;1;16;48;4;40;1;9;-1-4-16-40-48-;-1-9-
17/09/2010;50;27;38;17;29;3;1;-17-27-29-38-50-;-1-3-
10/09/2010;35;41;21;45;17;5;1;-17-21-35-41-45-;-1-5-
03/09/2010;24;49;47;26;13;4;8;-13-24-26-47-49-;-4-8-
27/08/2010;13;6;30;1;49;1;9;-1-6-13-30-49-;-1-9-
20/08/2010;27;31;5;42;40;6;1;-5-27-31-40-42-;-1-6-
13/08/2010;15;9;47;21;4;7;2;-4-9-15-21-47-;-2-7-
06/08/2010;42;28;13;29;25;4;5;-13-25-28-29-42-;-4-5-
30/07/2010;39;11;3;4;28;8;2;-3-4-11-28-39-;-2-8-
23/07/2010;4;13;37;35;46;9;3;-4-13-35-37-46-;-3-9-
16/07/2010;49;46;45;39;38;7;8;-38-39-45-46-49-;-7-8-
09/07/2010;37;9;49;24;39;3;9;-9-24-37-39-49-;-3-9-
02/07/2010;46;41;36;13;12;8;1;-12-13-36-41-46-;-1-8-
25/06/2010;18;1;8;28;31;9;8;-1-8-18-28-31-;-8-9-
18/06/2010;2;29;31;38;32;4;1;-2-29-31-32-38-;-1-4-
11/06/2010;44;2;36;22;24;2;1;-2-22-24-36-44-;-1-2-
04/06/2010;34;42;17;40;4;9;4;-4-17-34-40-42-;-4-9-
28/05/2010;9;31;32;33;4;3;7;-4-9-31-32-33-;-3-7-
21/05/2010;38;19;50;7;30;4;7;-7-19-30-38-50-;-4-7-
14/05/2010;17;31;43;47;1;3;2;-1-17-31-43-47-;-2-3-
07/05/2010;15;21;6;3;32;7;9;-3-6-15-21-32-;-7-9-
30/04/2010;6;36;22;25;24;3;8;-6-22-24-25-36-;-3-8-
23/04/2010;46;3;7;8;43;6;8;-3-7-8-43-46-;-6-8-
16/04/2010;17;11;26;40;9;9;3;-9-11-17-26-40-;-3-9-
09/04/2010;44;23;24;21;7;3;4;-7-21-23-24-44-;-3-4-
02/04/2010;26;18;12;24;45;5;4;-12-18-24-26-45-;-4-5-
26/03/2010;18;37;8;16;43;2;6;-8-16-18-37-43-;-2-6-
19/03/2010;38;28;30;39;10;7;2;-10-28-30-38-39-;-2-7-
12/03/2010;46;1;26;36;33;7;6;-1-26-33-36-46-;-6-7-
05/03/2010;19;18;49;12;43;9;3;-12-18-19-43-49-;-3-9-
26/02/2010;42;11;29;7;18;7;6;-7-11-18-29-42-;-6-7-
19/02/2010;37;12;38;31;43;3;2;-12-31-37-38-43-;-2-3-
12/02/2010;5;45;1;38;18;6;4;-1-5-18-38-45-;-4-6-
05/02/2010;46;38;34;35;39;3;4;-34-35-38-39-46-;-3-4-
29/01/2010;39;43;30;17;9;7;5;-9-17-30-39-43-;-5-7-
22/01/2010;4;44;27;22;36;9;7;-4-22-27-36-44-;-7-9-
